episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
308,71.0,6882.0,3076.25,12305.0,1,43,26.0,104,9,200,137.25,549
309,36.0,7080.0,2853.75,11415.0,0,44,23.75,95,9,200,126.75,507
310,80.0,8880.0,3177.5,12710.0,2,43,28.25,113,15,200,153.75,615
311,59.0,399.0,182.25,729.0,1,7,3.5,14,9,50,23.75,95
312,77.0,6168.0,2754.5,11018.0,1,42,25.25,101,9,200,135.75,543
313,77.0,5772.0,2221.0,8884.0,2,40,22.0,88,9,200,119.5,478
314,114.0,6186.0,2327.25,9309.0,2,43,22.0,88,21,200,121.0,484
315,75.0,1776.0,550.0,2200.0,1,24,8.25,33,9,152,53.75,215
316,41.0,4638.0,1296.25,5185.0,1,39,12.5,50,9,200,67.25,269
317,167.0,10296.0,3594.5,14378.0,3,45,22.5,90,27,200,115.0,460
318,341.0,10806.0,3601.0,14404.0,9,47,26.25,105,57,200,134.5,538
319,42.0,2850.0,898.75,3595.0,0,32,11.0,44,9,200,70.25,281
320,77.0,4416.0,1214.5,4858.0,1,39,12.25,49,9,200,68.75,275
321,77.0,7770.0,4099.25,16397.0,1,43,30.0,120,9,200,152.25,609
322,152.0,5502.0,2856.5,11426.0,4,40,27.75,111,27,200,153.75,615
323,179.0,4422.0,1955.75,7823.0,4,39,20.5,82,33,200,116.5,466
324,113.0,8982.0,2983.0,11932.0,3,43,21.25,85,21,200,110.5,442
325,77.0,4398.0,1849.75,7399.0,1,39,20.0,80,9,200,109.0,436
326,41.0,7788.0,4228.25,16913.0,1,43,29.75,119,9,200,152.25,609
327,123.0,6396.0,3299.25,13197.0,3,43,30.0,120,27,200,156.75,627
328,59.0,3744.0,1027.5,4110.0,1,38,11.5,46,9,200,64.25,257
329,68.0,1518.0,452.25,1809.0,2,26,8.25,33,15,164,53.75,215
330,65.0,5148.0,1785.0,7140.0,1,39,18.5,74,9,200,103.25,413
331,36.0,5352.0,2847.0,11388.0,0,41,28.5,114,9,200,152.25,609
332,65.0,768.0,271.5,1086.0,1,12,4.75,19,9,80,31.25,125
333,306.0,5424.0,1612.25,6449.0,8,38,15.75,63,57,200,92.75,371
