episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
417,134.0,1803.0,668.75,2675.0,4,15,8.25,33
418,80.0,6774.0,1797.75,7191.0,2,69,19.5,78
419,63.0,11592.0,3718.5,14874.0,1,77,30.5,122
420,152.0,16170.0,7432.75,29731.0,4,78,41.75,167
421,170.0,10254.0,3813.25,15253.0,4,68,31.25,125
422,185.0,17736.0,10828.25,43313.0,5,79,58.75,235
423,93.0,20406.0,12636.75,50547.0,1,81,57.75,231
424,222.0,8925.0,2522.0,10088.0,6,39,16.25,65
425,179.0,5820.0,1832.0,7328.0,5,32,14.75,59
426,107.0,600.0,250.0,1000.0,3,12,5.5,22
427,71.0,341.0,143.25,573.0,1,7,2.75,11
428,447.0,20184.0,12479.25,49917.0,11,78,60.25,241
429,69.0,11970.0,4610.25,18441.0,1,70,36.25,145
430,87.0,603.0,287.75,1151.0,1,11,5.25,21
431,249.0,4920.0,1836.5,7346.0,5,40,19.0,76
432,80.0,5697.0,1711.0,6844.0,2,41,16.0,64
433,69.0,2958.0,1069.0,4276.0,1,35,15.75,63
434,173.0,465.0,272.5,1090.0,4,8,5.25,21
435,138.0,2301.0,926.25,3705.0,2,23,12.0,48
436,36.0,1017.0,349.75,1399.0,0,11,5.0,20
437,84.0,16488.0,4202.25,16809.0,2,78,21.25,85
438,74.0,16290.0,7435.25,29741.0,2,75,42.5,170
439,62.0,642.0,217.0,868.0,1,10,4.0,16
440,158.0,734.0,310.25,1241.0,4,14,6.75,27
441,77.0,3660.0,1016.75,4067.0,1,30,9.75,39
442,83.0,1071.0,482.5,1930.0,2,19,9.25,37
443,2016.0,20994.0,12396.0,49584.0,40,78,66.0,264
444,53.0,777.0,318.25,1273.0,1,17,6.75,27
445,123.0,2400.0,810.25,3241.0,3,18,8.75,35
446,540.0,19470.0,9203.25,36813.0,12,77,55.0,220
447,65.0,4668.0,1963.75,7855.0,1,69,29.0,116
448,897.0,17496.0,8479.5,33918.0,17,76,54.75,219
449,75.0,2481.0,791.0,3164.0,1,31,11.0,44
450,374.0,13890.0,6620.75,26483.0,10,76,42.75,171
